reading_id,station_id,model_name,predicted_label,confidence_score,response_time_ms,timestamp
57,ST-03,pressure_drop_predictor,drop,0.758,52.5,2026-09-09 22:04:03.664
58,ST-04,pressure_drop_predictor,stable,0.975,58.3,2026-09-09 22:04:03.691
59,ST-09,leak_detector,normal,0.848,33.9,2026-09-09 22:04:03.717
60,ST-06,demand_forecaster,282,0.883,93.4,2026-09-09 22:04:03.743
61,ST-09,leak_detector,leak,0.917,37.9,2026-09-09 22:04:03.769
62,ST-02,pressure_drop_predictor,drop,0.832,46.7,2026-09-09 22:04:03.795
63,ST-04,leak_detector,normal,0.885,44.4,2026-09-09 22:04:03.821
64,ST-01,leak_detector,normal,0.861,34.1,2026-09-09 22:04:03.847
65,ST-05,demand_forecaster,2039,0.695,84.1,2026-09-09 22:04:03.872
66,ST-04,demand_forecaster,1206,0.657,103.9,2026-09-09 22:04:03.898
67,ST-02,leak_detector,normal,0.957,38.0,2026-09-09 22:04:03.925
68,ST-02,pressure_drop_predictor,drop,0.702,53.5,2026-09-09 22:04:03.951
69,ST-04,leak_detector,normal,0.878,38.5,2026-09-09 22:04:03.976
70,ST-09,demand_forecaster,808,0.67,73.6,2026-09-09 22:04:04.003
71,ST-03,pressure_drop_predictor,stable,0.838,50.0,2026-09-09 22:04:04.029
72,ST-04,leak_detector,normal,0.887,43.3,2026-09-09 22:04:04.055
73,ST-09,demand_forecaster,1026,0.504,65.6,2026-09-09 22:04:04.081
74,ST-03,leak_detector,normal,0.877,47.2,2026-09-09 22:04:04.107
75,ST-10,leak_detector,normal,0.801,32.0,2026-09-09 22:04:04.133
76,ST-08,leak_detector,normal,0.86,38.5,2026-09-09 22:04:04.159
77,ST-03,leak_detector,normal,0.844,42.4,2026-09-09 22:04:04.185
78,ST-05,pressure_drop_predictor,stable,0.838,52.0,2026-09-09 22:04:04.210
79,ST-02,demand_forecaster,4542,0.606,107.0,2026-09-09 22:04:04.235
80,ST-09,pressure_drop_predictor,stable,0.619,57.2,2026-09-09 22:04:04.262
82,ST-08,pressure_drop_predictor,stable,0.784,55.2,2026-09-09 22:04:04.313
83,ST-08,leak_detector,normal,0.903,28.1,2026-09-09 22:04:04.339
84,ST-03,leak_detector,normal,0.873,35.7,2026-09-09 22:04:04.364
85,ST-06,leak_detector,normal,0.878,37.2,2026-09-09 22:04:04.390
86,ST-10,pressure_drop_predictor,stable,0.852,72.3,2026-09-09 22:04:04.416
87,ST-08,leak_detector,normal,0.8,38.5,2026-09-09 22:04:04.442
88,ST-07,demand_forecaster,4043,0.721,72.8,2026-09-09 22:04:04.468
89,ST-01,leak_detector,normal,0.862,33.5,2026-09-09 22:04:04.494
90,ST-10,pressure_drop_predictor,drop,0.774,52.4,2026-09-09 22:04:04.520
91,ST-04,leak_detector,normal,0.794,42.7,2026-09-09 22:04:04.546
92,ST-10,leak_detector,normal,0.745,30.2,2026-09-09 22:04:04.571
93,ST-04,pressure_drop_predictor,stable,0.715,58.7,2026-09-09 22:04:04.598
94,ST-10,leak_detector,normal,0.857,36.9,2026-09-09 22:04:04.624
95,ST-02,demand_forecaster,2831,0.735,83.5,2026-09-09 22:04:04.650
96,ST-06,leak_detector,normal,0.896,47.5,2026-09-09 22:04:04.676
97,ST-07,demand_forecaster,4318,0.699,80.0,2026-09-09 22:04:04.702
98,ST-10,demand_forecaster,773,0.864,67.1,2026-09-09 22:04:04.727
99,ST-10,pressure_drop_predictor,stable,0.725,42.1,2026-09-09 22:04:04.752
100,ST-09,leak_detector,normal,0.881,34.4,2026-09-09 22:04:04.778
101,ST-04,pressure_drop_predictor,stable,0.648,54.4,2026-09-09 22:04:04.804
102,ST-04,demand_forecaster,4659,0.494,78.0,2026-09-09 22:04:04.830
103,ST-02,demand_forecaster,1735,0.663,73.4,2026-09-09 22:04:04.855
104,ST-01,pressure_drop_predictor,stable,0.748,55.1,2026-09-09 22:04:04.882
105,ST-07,pressure_drop_predictor,drop,0.673,66.3,2026-09-09 22:04:04.908
106,ST-01,demand_forecaster,4242,0.741,69.7,2026-09-09 22:04:04.934
107,ST-03,leak_detector,normal,0.886,34.7,2026-09-09 22:04:04.959
108,ST-03,demand_forecaster,2229,0.641,85.7,2026-09-09 22:04:04.985
109,ST-02,demand_forecaster,4616,0.582,76.2,2026-09-09 22:04:05.011
110,ST-09,leak_detector,normal,0.841,28.4,2026-09-09 22:04:05.037
111,ST-02,pressure_drop_predictor,stable,0.641,64.9,2026-09-09 22:04:05.063
112,ST-10,pressure_drop_predictor,drop,1,55.7,2026-09-09 22:04:05.089
113,ST-05,pressure_drop_predictor,stable,0.709,44.1,2026-09-09 22:04:05.115
114,ST-09,demand_forecaster,1315,0.843,55.9,2026-09-09 22:04:05.141
115,ST-08,leak_detector,normal,0.843,31.0,2026-09-09 22:04:05.167
116,ST-10,pressure_drop_predictor,drop,0.681,35.4,2026-09-09 22:04:05.193
117,ST-03,leak_detector,normal,0.852,28.9,2026-09-09 22:04:05.219
118,ST-08,pressure_drop_predictor,stable,0.762,52.4,2026-09-09 22:04:05.248
119,ST-01,pressure_drop_predictor,stable,0.868,71.4,2026-09-09 22:04:05.276
120,ST-06,leak_detector,normal,0.861,38.0,2026-09-09 22:04:05.307
121,ST-07,demand_forecaster,4754,0.857,83.2,2026-09-09 22:04:05.333
122,ST-06,pressure_drop_predictor,stable,0.699,69.3,2026-09-09 22:04:05.360
123,ST-03,leak_detector,normal,0.845,41.1,2026-09-09 22:04:05.386
124,ST-10,leak_detector,normal,0.913,33.0,2026-09-09 22:04:05.412
125,ST-10,demand_forecaster,1165,0.552,79.3,2026-09-09 22:04:05.441
126,ST-03,demand_forecaster,2588,0.735,72.6,2026-09-09 22:04:05.467
127,ST-07,demand_forecaster,2827,0.838,69.1,2026-09-09 22:04:05.493
128,ST-06,pressure_drop_predictor,stable,0.771,38.6,2026-09-09 22:04:05.519
129,ST-01,demand_forecaster,2922,0.834,105.2,2026-09-09 22:04:05.545
130,ST-05,leak_detector,normal,0.879,34.4,2026-09-09 22:04:05.571
131,ST-05,pressure_drop_predictor,stable,0.892,44.9,2026-09-09 22:04:05.597
132,ST-03,demand_forecaster,4502,0.712,74.4,2026-09-09 22:04:05.623
133,ST-01,pressure_drop_predictor,stable,0.724,72.9,2026-09-09 22:04:05.649
134,ST-09,leak_detector,normal,0.745,30.5,2026-09-09 22:04:05.674
135,ST-04,demand_forecaster,3923,0.715,81.5,2026-09-09 22:04:05.700
136,ST-10,pressure_drop_predictor,drop,0.812,60.2,2026-09-09 22:04:05.725
137,ST-10,leak_detector,normal,0.754,31.1,2026-09-09 22:04:05.751
138,ST-02,demand_forecaster,820,0.715,71.5,2026-09-09 22:04:05.777
139,ST-05,pressure_drop_predictor,drop,0.674,56.7,2026-09-09 22:04:05.803
140,ST-02,pressure_drop_predictor,drop,0.769,44.2,2026-09-09 22:04:05.829
141,ST-02,leak_detector,normal,0.964,24.6,2026-09-09 22:04:05.855
142,ST-05,pressure_drop_predictor,stable,0.848,52.8,2026-09-09 22:04:05.881
143,ST-04,leak_detector,normal,0.729,26.3,2026-09-09 22:04:05.907
144,ST-02,leak_detector,leak,0.885,34.4,2026-09-09 22:04:05.933
145,ST-04,demand_forecaster,2646,0.731,94.6,2026-09-09 22:04:05.958
146,ST-05,leak_detector,normal,0.839,28.4,2026-09-09 22:04:05.984
147,ST-09,leak_detector,normal,0.866,46.3,2026-09-09 22:04:06.040
148,ST-05,pressure_drop_predictor,stable,0.625,66.1,2026-09-09 22:04:06.074
149,ST-02,demand_forecaster,1869,0.783,85.8,2026-09-09 22:04:06.101
150,ST-09,demand_forecaster,4326,0.783,68.3,2026-09-09 22:04:06.132
151,ST-08,demand_forecaster,2397,0.691,66.4,2026-09-09 22:04:06.158
152,ST-01,pressure_drop_predictor,drop,0.786,62.0,2026-09-09 22:04:06.184
153,ST-07,leak_detector,normal,0.861,26.7,2026-09-09 22:04:06.209
154,ST-03,leak_detector,normal,0.814,33.8,2026-09-09 22:04:06.236
155,ST-02,demand_forecaster,2784,0.582,77.6,2026-09-09 22:04:06.261
156,ST-10,demand_forecaster,653,0.651,82.1,2026-09-09 22:04:06.287
157,ST-09,leak_detector,normal,0.922,23.8,2026-09-09 22:04:06.313
158,ST-01,demand_forecaster,1958,0.71,93.7,2026-09-09 22:04:06.339
159,ST-10,demand_forecaster,1467,0.762,76.9,2026-09-09 22:04:06.365
160,ST-07,pressure_drop_predictor,stable,0.731,65.8,2026-09-09 22:04:06.391
161,ST-08,demand_forecaster,2034,0.834,80.2,2026-09-09 22:04:06.418
162,ST-02,pressure_drop_predictor,drop,0.658,41.3,2026-09-09 22:04:06.444
163,ST-08,leak_detector,normal,0.716,37.2,2026-09-09 22:04:06.470
164,ST-04,pressure_drop_predictor,drop,0.838,56.2,2026-09-09 22:04:06.496
165,ST-08,demand_forecaster,3485,0.636,101.4,2026-09-09 22:04:06.521
166,ST-09,pressure_drop_predictor,drop,0.728,63.9,2026-09-09 22:04:06.546
167,ST-06,leak_detector,normal,0.912,40.2,2026-09-09 22:04:06.573
168,ST-02,pressure_drop_predictor,stable,0.676,66.6,2026-09-09 22:04:06.598
169,ST-03,leak_detector,normal,0.854,47.4,2026-09-09 22:04:06.624
170,ST-09,demand_forecaster,204,0.753,99.2,2026-09-09 22:04:06.650
171,ST-09,demand_forecaster,4282,0.663,66.3,2026-09-09 22:04:06.676
172,ST-09,demand_forecaster,2121,0.672,79.9,2026-09-09 22:04:06.702
173,ST-01,demand_forecaster,63,0.708,68.4,2026-09-09 22:04:06.728
174,ST-02,pressure_drop_predictor,drop,0.945,66.1,2026-09-09 22:04:06.754
175,ST-02,pressure_drop_predictor,stable,0.717,60.2,2026-09-09 22:04:06.780
176,ST-01,pressure_drop_predictor,stable,0.744,48.7,2026-09-09 22:04:06.806
177,ST-01,leak_detector,normal,0.87,40.1,2026-09-09 22:04:06.833
178,ST-02,demand_forecaster,1411,0.609,56.3,2026-09-09 22:04:06.859
179,ST-10,pressure_drop_predictor,stable,1,57.1,2026-09-09 22:04:06.885
180,ST-06,pressure_drop_predictor,stable,0.925,63.3,2026-09-09 22:04:06.911
181,ST-05,demand_forecaster,1417,0.695,54.5,2026-09-09 22:04:06.937
182,ST-04,leak_detector,normal,0.853,27.9,2026-09-09 22:04:06.963
183,ST-01,leak_detector,normal,0.84,36.7,2026-09-09 22:04:06.989
184,ST-04,leak_detector,leak,0.645,49.4,2026-09-09 22:04:07.014
185,ST-06,demand_forecaster,2181,0.771,90.9,2026-09-09 22:04:07.040
186,ST-01,demand_forecaster,2936,0.729,75.6,2026-09-09 22:04:07.065
187,ST-03,leak_detector,normal,0.85,43.8,2026-09-09 22:04:07.090
188,ST-10,pressure_drop_predictor,stable,0.799,45.6,2026-09-09 22:04:07.116
189,ST-06,leak_detector,normal,0.921,44.3,2026-09-09 22:04:07.142
190,ST-10,leak_detector,normal,0.772,37.7,2026-09-09 22:04:07.168
191,ST-05,demand_forecaster,898,0.727,87.1,2026-09-09 22:04:07.194
192,ST-02,leak_detector,normal,0.916,47.0,2026-09-09 22:04:07.220
193,ST-01,leak_detector,normal,1,33.3,2026-09-09 22:04:07.245
194,ST-10,demand_forecaster,3910,0.577,86.9,2026-09-09 22:04:07.271
195,ST-01,demand_forecaster,2356,0.796,93.2,2026-09-09 22:04:07.297
196,ST-02,leak_detector,normal,0.829,42.0,2026-09-09 22:04:07.324
197,ST-04,demand_forecaster,2732,0.769,68.1,2026-09-09 22:04:07.350
198,ST-08,demand_forecaster,1112,0.578,87.3,2026-09-09 22:04:07.376
199,ST-04,leak_detector,normal,0.931,41.5,2026-09-09 22:04:07.402
200,ST-02,leak_detector,normal,0.851,17.8,2026-09-09 22:04:07.428
201,ST-07,demand_forecaster,817,0.895,59.3,2026-09-09 22:04:07.454
202,ST-07,leak_detector,normal,0.938,26.0,2026-09-09 22:04:07.480
203,ST-10,leak_detector,normal,0.899,26.1,2026-09-09 22:04:07.505
204,ST-07,pressure_drop_predictor,stable,0.744,47.6,2026-09-09 22:04:07.531
205,ST-07,pressure_drop_predictor,drop,0.7,53.1,2026-09-09 22:04:07.557
206,ST-05,demand_forecaster,4525,0.472,75.8,2026-09-09 22:04:07.582
207,ST-05,leak_detector,normal,0.888,40.8,2026-09-09 22:04:07.609
208,ST-04,pressure_drop_predictor,drop,0.75,47.6,2026-09-09 22:04:07.635
209,ST-09,leak_detector,normal,0.846,31.5,2026-09-09 22:04:07.660
211,ST-06,leak_detector,normal,0.785,40.7,2026-09-09 22:04:07.745
212,ST-08,demand_forecaster,1394,0.559,72.6,2026-09-09 22:04:07.775
213,ST-10,leak_detector,normal,0.765,32.6,2026-09-09 22:04:07.802
214,ST-03,pressure_drop_predictor,stable,0.718,63.4,2026-09-09 22:04:07.828
215,ST-09,pressure_drop_predictor,stable,0.919,36.2,2026-09-09 22:04:07.854
216,ST-07,leak_detector,normal,0.856,38.3,2026-09-09 22:04:07.880
217,ST-09,demand_forecaster,653,0.717,43.2,2026-09-09 22:04:07.905
218,ST-07,leak_detector,normal,0.837,33.1,2026-09-09 22:04:07.931
219,ST-08,pressure_drop_predictor,drop,0.84,50.4,2026-09-09 22:04:07.957
220,ST-03,pressure_drop_predictor,drop,0.673,66.0,2026-09-09 22:04:07.983
221,ST-06,pressure_drop_predictor,stable,0.776,63.2,2026-09-09 22:04:08.009
222,ST-07,pressure_drop_predictor,drop,0.768,47.2,2026-09-09 22:04:08.035
223,ST-08,leak_detector,normal,0.957,34.5,2026-09-09 22:04:08.061
224,ST-10,leak_detector,normal,0.917,33.9,2026-09-09 22:04:08.087
225,ST-07,leak_detector,normal,0.934,31.3,2026-09-09 22:04:08.113
226,ST-05,leak_detector,normal,0.871,27.1,2026-09-09 22:04:08.139
227,ST-05,demand_forecaster,3895,0.691,86.2,2026-09-09 22:04:08.165
228,ST-08,pressure_drop_predictor,drop,0.645,51.3,2026-09-09 22:04:08.191
229,ST-09,leak_detector,normal,0.775,35.3,2026-09-09 22:04:08.216
230,ST-10,pressure_drop_predictor,drop,0.537,49.0,2026-09-09 22:04:08.242
231,ST-07,pressure_drop_predictor,drop,0.89,62.2,2026-09-09 22:04:08.268
232,ST-02,pressure_drop_predictor,stable,0.69,55.8,2026-09-09 22:04:08.293
233,ST-07,demand_forecaster,3317,0.621,61.0,2026-09-09 22:04:08.319
234,ST-05,pressure_drop_predictor,stable,0.714,47.3,2026-09-09 22:04:08.345
235,ST-10,leak_detector,normal,0.923,46.5,2026-09-09 22:04:08.371
236,ST-03,leak_detector,normal,0.889,39.1,2026-09-09 22:04:08.397
237,ST-07,demand_forecaster,1635,0.822,80.1,2026-09-09 22:04:08.422
238,ST-07,leak_detector,normal,0.865,34.2,2026-09-09 22:04:08.449
239,ST-04,pressure_drop_predictor,drop,0.745,65.2,2026-09-09 22:04:08.475
240,ST-06,demand_forecaster,4317,0.589,60.4,2026-09-09 22:04:08.501
241,ST-02,demand_forecaster,786,0.762,71.0,2026-09-09 22:04:08.526
242,ST-03,demand_forecaster,315,0.726,94.5,2026-09-09 22:04:08.552
243,ST-09,demand_forecaster,3855,0.806,57.8,2026-09-09 22:04:08.578
244,ST-05,demand_forecaster,840,0.797,97.5,2026-09-09 22:04:08.604
245,ST-05,demand_forecaster,1792,0.674,84.4,2026-09-09 22:04:08.631
246,ST-01,leak_detector,normal,0.851,29.1,2026-09-09 22:04:08.657
247,ST-01,leak_detector,normal,0.885,36.9,2026-09-09 22:04:08.683
248,ST-09,leak_detector,normal,0.753,47.0,2026-09-09 22:04:08.709
249,ST-09,pressure_drop_predictor,stable,0.852,46.1,2026-09-09 22:04:08.735
250,ST-03,demand_forecaster,2694,0.553,83.8,2026-09-09 22:04:08.761
251,ST-07,pressure_drop_predictor,drop,0.885,60.2,2026-09-09 22:04:08.787
252,ST-02,leak_detector,normal,0.807,39.0,2026-09-09 22:04:08.813
253,ST-03,pressure_drop_predictor,stable,0.832,51.3,2026-09-09 22:04:08.838
254,ST-01,leak_detector,normal,0.967,43.0,2026-09-09 22:04:08.864
255,ST-10,demand_forecaster,454,0.78,82.0,2026-09-09 22:04:08.890
256,ST-09,demand_forecaster,2931,0.625,90.2,2026-09-09 22:04:08.915
257,ST-03,pressure_drop_predictor,stable,0.773,66.2,2026-09-09 22:04:08.969
258,ST-06,demand_forecaster,1937,0.656,98.8,2026-09-09 22:04:09.003
259,ST-01,pressure_drop_predictor,drop,0.672,54.2,2026-09-09 22:04:09.030
260,ST-10,demand_forecaster,4319,0.676,87.3,2026-09-09 22:04:09.056
261,ST-02,demand_forecaster,4259,0.687,54.5,2026-09-09 22:04:09.083
262,ST-08,pressure_drop_predictor,stable,0.693,40.8,2026-09-09 22:04:09.109
263,ST-06,pressure_drop_predictor,drop,0.75,64.6,2026-09-09 22:04:09.135
264,ST-02,demand_forecaster,4122,0.63,81.6,2026-09-09 22:04:09.161
265,ST-04,pressure_drop_predictor,stable,0.652,54.7,2026-09-09 22:04:09.187
266,ST-07,pressure_drop_predictor,stable,0.742,54.4,2026-09-09 22:04:09.212
267,ST-02,pressure_drop_predictor,stable,0.907,53.6,2026-09-09 22:04:09.238
268,ST-01,demand_forecaster,1242,0.681,70.8,2026-09-09 22:04:09.263
269,ST-06,demand_forecaster,2829,0.788,92.3,2026-09-09 22:04:09.289
270,ST-04,demand_forecaster,3480,0.768,96.1,2026-09-09 22:04:09.315
271,ST-09,demand_forecaster,3055,0.728,71.6,2026-09-09 22:04:09.340
272,ST-07,pressure_drop_predictor,stable,0.69,51.3,2026-09-09 22:04:09.366
273,ST-07,demand_forecaster,2840,0.704,84.3,2026-09-09 22:04:09.392
274,ST-03,demand_forecaster,316,0.614,72.1,2026-09-09 22:04:09.417
275,ST-03,demand_forecaster,1367,0.837,98.4,2026-09-09 22:04:09.444
276,ST-04,leak_detector,normal,0.877,33.1,2026-09-09 22:04:09.470
277,ST-02,leak_detector,normal,0.897,36.4,2026-09-09 22:04:09.495
278,ST-06,leak_detector,normal,0.891,41.1,2026-09-09 22:04:09.521
279,ST-03,leak_detector,normal,0.822,29.9,2026-09-09 22:04:09.547
280,ST-03,leak_detector,normal,0.961,35.6,2026-09-09 22:04:09.572
282,ST-10,demand_forecaster,92,0.59,55.3,2026-09-09 22:04:09.623
284,ST-05,demand_forecaster,4798,0.704,82.6,2026-09-09 22:04:09.674
285,ST-08,leak_detector,normal,0.849,31.2,2026-09-09 22:04:09.700
286,ST-03,demand_forecaster,3537,0.598,93.6,2026-09-09 22:04:09.726
287,ST-02,pressure_drop_predictor,stable,0.695,49.2,2026-09-09 22:04:09.752
288,ST-05,demand_forecaster,3781,0.661,77.2,2026-09-09 22:04:09.778
289,ST-05,leak_detector,normal,0.966,40.2,2026-09-09 22:04:09.803
290,ST-01,demand_forecaster,4621,0.695,49.9,2026-09-09 22:04:09.829
291,ST-07,leak_detector,normal,0.913,33.3,2026-09-09 22:04:09.855
292,ST-10,leak_detector,normal,0.938,30.6,2026-09-09 22:04:09.881
293,ST-09,demand_forecaster,2254,0.684,114.5,2026-09-09 22:04:09.907
294,ST-05,leak_detector,leak,0.937,30.1,2026-09-09 22:04:09.933
295,ST-10,pressure_drop_predictor,stable,0.713,45.4,2026-09-09 22:04:09.958
296,ST-08,demand_forecaster,211,0.675,64.3,2026-09-09 22:04:09.984
297,ST-07,demand_forecaster,4439,0.705,86.9,2026-09-09 22:04:10.010
298,ST-01,demand_forecaster,121,0.63,82.0,2026-09-09 22:04:10.035
299,ST-06,demand_forecaster,3982,0.623,82.9,2026-09-09 22:04:10.061
300,ST-03,demand_forecaster,4798,0.563,95.5,2026-09-09 22:04:10.087
301,ST-09,leak_detector,normal,0.89,47.2,2026-09-09 22:04:10.113
302,ST-06,demand_forecaster,2141,0.571,93.9,2026-09-09 22:04:10.139
303,ST-06,leak_detector,normal,0.882,38.0,2026-09-09 22:04:10.188
304,ST-06,pressure_drop_predictor,stable,0.816,46.7,2026-09-09 22:04:10.222
305,ST-03,pressure_drop_predictor,drop,0.746,56.6,2026-09-09 22:04:10.259
306,ST-04,demand_forecaster,1057,0.68,74.7,2026-09-09 22:04:10.286
307,ST-03,pressure_drop_predictor,drop,0.757,51.5,2026-09-09 22:04:10.312
308,ST-08,leak_detector,normal,0.928,34.4,2026-09-09 22:04:10.338
309,ST-01,demand_forecaster,1053,0.652,94.8,2026-09-09 22:04:10.364
310,ST-02,pressure_drop_predictor,drop,0.878,60.3,2026-09-09 22:04:10.390
311,ST-03,pressure_drop_predictor,drop,0.815,52.7,2026-09-09 22:04:10.416
312,ST-09,leak_detector,normal,0.958,41.2,2026-09-09 22:04:10.442
313,ST-04,pressure_drop_predictor,drop,0.626,64.6,2026-09-09 22:04:10.468
314,ST-09,leak_detector,normal,0.947,46.9,2026-09-09 22:04:10.494
315,ST-01,pressure_drop_predictor,drop,0.779,50.0,2026-09-09 22:04:10.519
316,ST-01,demand_forecaster,2229,0.912,69.3,2026-09-09 22:04:10.544
317,ST-07,pressure_drop_predictor,drop,0.827,55.9,2026-09-09 22:04:10.570
318,ST-03,leak_detector,normal,0.811,35.2,2026-09-09 22:04:10.596
319,ST-09,leak_detector,leak,0.869,38.3,2026-09-09 22:04:10.622
320,ST-01,pressure_drop_predictor,drop,0.601,60.3,2026-09-09 22:04:10.648
321,ST-04,leak_detector,normal,0.819,32.4,2026-09-09 22:04:10.674
322,ST-07,demand_forecaster,47,0.547,72.4,2026-09-09 22:04:10.699
323,ST-10,leak_detector,normal,0.844,38.6,2026-09-09 22:04:10.725
324,ST-01,pressure_drop_predictor,drop,0.809,54.5,2026-09-09 22:04:10.751
325,ST-01,pressure_drop_predictor,stable,0.77,55.8,2026-09-09 22:04:10.777
326,ST-09,leak_detector,normal,0.93,33.4,2026-09-09 22:04:10.803
328,ST-05,pressure_drop_predictor,drop,0.896,65.2,2026-09-09 22:04:10.854
329,ST-03,pressure_drop_predictor,drop,0.804,63.2,2026-09-09 22:04:10.880
330,ST-02,leak_detector,normal,0.937,27.7,2026-09-09 22:04:10.906
331,ST-01,pressure_drop_predictor,drop,0.815,67.1,2026-09-09 22:04:10.932
332,ST-08,demand_forecaster,4170,0.674,68.3,2026-09-09 22:04:10.957
333,ST-06,pressure_drop_predictor,stable,0.83,49.0,2026-09-09 22:04:10.983
334,ST-01,leak_detector,normal,0.95,28.5,2026-09-09 22:04:11.008
335,ST-01,demand_forecaster,4878,0.721,67.4,2026-09-09 22:04:11.033
336,ST-02,demand_forecaster,203,0.725,65.8,2026-09-09 22:04:11.059
337,ST-07,pressure_drop_predictor,stable,0.771,46.4,2026-09-09 22:04:11.085
338,ST-09,pressure_drop_predictor,drop,0.825,66.4,2026-09-09 22:04:11.111
339,ST-08,pressure_drop_predictor,stable,0.614,46.1,2026-09-09 22:04:11.136
340,ST-09,leak_detector,normal,0.901,24.2,2026-09-09 22:04:11.162
341,ST-05,leak_detector,normal,0.857,27.4,2026-09-09 22:04:11.188
342,ST-01,leak_detector,normal,0.885,42.3,2026-09-09 22:04:11.240
343,ST-07,pressure_drop_predictor,stable,0.714,54.3,2026-09-09 22:04:11.266
344,ST-06,demand_forecaster,1830,0.642,89.6,2026-09-09 22:04:11.292
345,ST-03,demand_forecaster,1146,0.426,76.3,2026-09-09 22:04:11.318
